시군구,단지명,거래금액(만원)
강원도 강릉시 포남동,포남대림,20000.0
강원도 동해시 동회동,현대5차,20800.0
강원도 동해시 천곡동,한양1차,15000.0
강원도 속초시 교동,럭키설악2,21800.0
강원도 속초시 교동,현대1,24500.0
강원도 속초시 조양동,부영3,24000.0
강원도 원주시 단계동,라이프타운,19700.0
강원도 원주시 단계동,라이프타운,21500.0
강원도 원주시 단구동,개운2차한신휴플러스,29750.0
강원도 원주시 단구동,개운2차한신휴플러스,28300.0
강원도 원주시 단구동,두산,22900.0
강원도 원주시 단구동,중앙하이츠아파트,26900.0
강원도 원주시 명륜동,동보렉스9차,26400.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,29500.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,26430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28530.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28530.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28530.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28530.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28530.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28530.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,26430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28530.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28530.0
강원도 원주시 태장동,우성1,15000.0
강원도 원주시 태장동,우성1,16000.0
강원도 원주시 태장동,우성1,7000.0
강원도 원주시 행구동,효성백년가약,30000.0
강원도 원주시 행구동,효성백년가약,29100.0
강원도 원주시 행구동,효성백년가약,30000.0
강원도 원주시 흥업면 흥업리,남원주두산위브,27700.0
강원도 춘천시 동면 만천리,대동다숲,26000.0
강원도 춘천시 동면 만천리,한일유앤아이,30000.0
강원도 춘천시 우두동,롯데인벤스,27500.0
강원도 춘천시 우두동,롯데인벤스,27500.0
강원도 춘천시 우두동,롯데인벤스,27300.0
강원도 춘천시 퇴계동,그린타운삼익코오롱,23500.0
강원도 춘천시 퇴계동,그린타운삼익코오롱,23300.0
강원도 춘천시 후평동,동아,22300.0
